,state,lat,lon
0,AB,54.0109356726316,-113.99080409210528
1,AK,60.797531889924485,-149.81072339719032
2,AL,32.72015151522728,-86.62824494954546
3,AR,35.28270115,-92.47651340965515
4,AZ,34.232103824918035,-111.8583196719672
5,BC,51.17198232272727,-125.02816919159092
6,CA,36.16252692775512,-119.61444727846943
7,CO,39.043457447021275,-105.92786643085108
8,CT,41.56724074133333,-72.72179629466667
9,DC,38.87333333,-77.02333333
10,DE,39.15912036833333,-75.479814815
11,FL,28.16235164159091,-82.20845328261359
12,GA,32.89172123071429,-83.66053571392858
13,HI,22.78875603913043,-156.73388889043483
14,IA,41.995465686176466,-93.16590686235294
15,ID,43.99674074000002,-113.82858333366669
16,IL,40.37992547487805,-88.88216124707316
17,IN,40.32379629611111,-86.17848765361113
18,KS,38.31906746047617,-97.30987433880951
19,KY,37.56546874968751,-85.82076388843748
20,LA,30.99920138833333,-91.85024305625
21,MA,42.19943152465117,-71.40636304930234
22,MB,54.39815972187501,-98.22045138875
23,MD,39.01031401,-76.93731883956521
24,ME,44.79850574758622,-69.43802682034483
25,MI,44.21832375517243,-85.28538314206895
26,MN,45.8716833332,-94.105288889
27,MO,38.11289789783785,-92.42245495486485
28,MS,32.703359375,-89.51746527718745
29,MT,46.946988303947364,-110.23008040921052
30,NB,46.53878472125,-66.222256945
31,NC,35.45100308648148,-78.94721707814816
32,ND,47.39119883052632,-100.05147660842104
33,NE,41.22392592600001,-99.31700926
34,NH,43.55692307769231,-71.49329059846153
35,NJ,40.189252873793116,-74.49830459793105
36,NL,51.924529914615384,-58.573141025384615
37,NM,34.413010752258074,-105.89821684580645
38,NS,45.10211111,-63.186444443999996
39,NT,65.1954000004,-119.4024888884
40,NU,68.51033854125001,-88.13564235999998
41,NV,38.34559027843751,-116.68644097093748
42,NY,42.32625750702704,-74.9576876875676
43,OH,40.60907088137933,-82.87753831413794
44,OK,35.41848958312501,-97.3355729165625
45,ON,47.543946932089575,-83.6797056386567
46,OR,44.05716124536585,-121.93700542073172
47,PA,40.583184156666654,-77.347237655
48,PE,46.364861115,-63.474444445
49,PR,18.29369047642857,-66.09202380857144
50,QC,50.121719348275874,-69.96678639879309
51,RI,41.55571428428571,-71.48726190571428
52,SC,33.93485735702704,-80.76630630594595
53,SD,44.08396198894738,-99.87021929736841
54,SK,55.14144841214287,-106.13083333285714
55,TN,35.79294037926829,-86.43000000048781
56,TT,7.082264957692307,0.8827136746153861
57,TX,31.077883771776317,-98.27902229539473
58,UT,39.2729600696875,-111.59777777843748
59,VA,37.72845833375,-78.06934722275
60,VI,18.091944444,-64.83427777600001
61,VT,43.95108585818182,-72.73429292909091
62,WA,47.70686357278481,-121.54237341784807
63,WI,44.371825396904775,-89.57525793714287
64,WV,38.68456349071429,-80.68450396857143
65,WY,42.88400383137931,-107.59276819896549
66,YT,62.386083333,-136.79638888899999
